"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO";"NOME ÓRGÃO";"CÓDIGO UNIDADE GESTORA";"NOME UNIDADE GESTORA";"ANO EXTRATO";"MÊS EXTRATO";"TIPO AQUISIÇÃO";"CNPJ OU CPF FAVORECIDO";"NOME FAVORECIDO";"TRANSAÇÃO";"DATA TRANSAÇÃO";"VALOR TRANSAÇÃO"
"26000";"Ministério da Educação";"26408";"Instituto Federal do Maranhão";"158283";"IFMA/CAMPUS BURITICUPU";"2021";"11";"Aquisição de Passagem Aérea";"03995515016756";"MATEUS SUPERMERCADOS S.A.";"COMPRA A/V - R$ - APRES";"28/09/2021";"99,75"
"26000";"Ministério da Educação";"26408";"Instituto Federal do Maranhão";"158283";"IFMA/CAMPUS BURITICUPU";"2021";"11";"Aquisição de Passagem Aérea";"10417608000250";"IRMAOS SILVA SALES LTDA";"COMPRA A/V - R$ - APRES";"06/10/2021";"152,80"
