dataTransacao,valorTransacao,orgao_max_nome
2026-03-05,1194.4,Ministério da Educação
2026-03-06,469.94,Ministério da Educação
2026-03-06,184.6,Ministério da Educação
2026-03-07,65.0,Ministério da Educação
2026-03-07,60.0,Ministério da Educação
2026-03-07,453.6,Ministério da Educação
2026-03-07,432.5,Ministério da Educação
2026-03-09,453.92,Ministério da Educação
2026-03-09,280.0,Ministério da Educação
2026-03-10,290.0,Ministério da Educação
2026-03-10,282.0,Ministério da Educação
2026-03-12,190.0,Ministério da Educação
2026-03-12,217.6,Ministério da Educação
2026-03-12,978.66,Ministério da Educação
2026-03-17,824.7,Ministério da Educação
2026-03-18,404.91,Ministério da Educação
2026-03-18,1770.0,Ministério da Educação
2026-04-02,68.97,Ministério da Educação
2026-04-02,480.67,Ministério da Educação
2026-04-04,98.59,Ministério da Educação
2026-04-04,130.53,Ministério da Educação
2026-04-04,177.7,Ministério da Educação
2026-04-04,236.55,Ministério da Educação
2026-04-04,79.8,Ministério da Educação
2026-04-06,492.73,Ministério da Educação
2026-04-07,55.0,Ministério da Educação
2026-04-07,1101.58,Ministério da Educação
2026-04-10,339.59,Ministério da Educação
2026-04-11,54.35,Ministério da Educação
2026-04-14,676.0,Ministério da Educação
2026-05-06,375.0,Ministério da Educação
