,dataTransacao,valorTransacao,unidade_gestora_nome,orgaoVinculado.nome
65,2023-11-28,190.0,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
64,2023-11-28,190.0,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
63,2023-11-28,190.0,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
72,2024-02-09,10.5,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
71,2024-02-27,130.0,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
69,2024-03-01,300.0,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
56,2024-03-04,130.0,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
57,2024-03-04,80.0,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
53,2024-03-14,222.0,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
52,2024-03-14,49.9,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
45,2024-05-15,457.0,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
47,2024-05-20,444.0,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
46,2024-05-20,591.0,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
70,2024-05-21,597.6,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
73,2024-06-18,116.0,IFPB - CAMPUS CATOLE DO ROCHA,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
129,2025-09-04,400.0,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
130,2025-09-04,3400.0,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
131,2025-09-04,2046.0,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
123,2025-10-21,2800.0,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
122,2025-10-21,373.6,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
96,2025-11-11,1.62,"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CAT/IFSC","Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina"
121,2026-02-23,13.9,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
98,2026-02-25,63.9,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
92,2026-02-26,20.0,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
93,2026-03-03,292.0,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
137,2026-03-05,1194.4,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
136,2026-03-05,2500.0,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
114,2026-03-06,469.94,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
115,2026-03-06,184.6,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
113,2026-03-07,432.5,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
110,2026-03-07,65.0,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
111,2026-03-07,60.0,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
112,2026-03-07,453.6,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
108,2026-03-09,453.92,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
109,2026-03-09,280.0,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
90,2026-03-10,282.0,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
89,2026-03-10,290.0,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
85,2026-03-12,978.66,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
86,2026-03-12,217.6,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
87,2026-03-12,190.0,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
99,2026-03-17,824.7,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
134,2026-03-18,1770.0,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
135,2026-03-18,404.91,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
132,2026-04-02,480.67,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
133,2026-04-02,68.97,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
105,2026-04-04,98.59,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
104,2026-04-04,130.53,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
103,2026-04-04,177.7,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
101,2026-04-04,79.8,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
102,2026-04-04,236.55,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
95,2026-04-06,492.73,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
106,2026-04-07,55.0,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
107,2026-04-07,1101.58,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
100,2026-04-10,339.59,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
128,2026-04-11,54.35,INSTITUTO FED DO AP CAMPUS AGRIC PORTO GRANDE,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
88,2026-04-14,676.0,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
127,2026-05-06,375.0,IFMA/CAMPUS BURITICUPU,"Instituto Federal de Educação, Ciência e Tecnologia do Maranhão"
